Plik: ./data/had12.dat

Parameters:
pop_size=100,gen=100,Px=0.8,Pm0.01,tour=5,elitism=True

<nr_pokolenia, najlepsza_ocena, srednia_ocen, najgorsza_ocena>

1 uruchomienie
<45,1664,1776,1906>
<46,1664,1783,1900>
<47,1664,1791,1900>
<48,1664,1779,1900>
<49,1664,1777,1900>
<50,1664,1791,1890>
<51,1664,1794,1894>
<52,1664,1764,1894>
<53,1664,1743,1878>
<54,1664,1735,1878>
<55,1664,1730,1872>
<56,1664,1714,1872>
<57,1664,1705,1864>
<58,1664,1691,1766>
<59,1664,1694,1824>
<60,1664,1697,1828>
<61,1664,1696,1916>
<62,1664,1702,1862>
<63,1664,1686,1822>
<64,1664,1687,1732>
<65,1664,1685,1732>
<66,1664,1685,1704>
<67,1664,1685,1726>
<68,1664,1683,1704>
<69,1664,1682,1704>
<70,1664,1681,1704>
<71,1664,1681,1692>
<72,1664,1682,1804>
<73,1664,1684,1804>
<74,1664,1691,1828>
<75,1664,1705,1828>
<76,1664,1708,1862>
<77,1664,1699,1780>
<78,1664,1696,1824>
<79,1664,1699,1826>
<80,1664,1712,1834>
<81,1664,1705,1848>
<82,1664,1705,1874>
<83,1664,1695,1774>
<84,1664,1698,1796>
<85,1664,1695,1796>
<86,1664,1692,1774>
<87,1664,1689,1768>
<88,1664,1694,1768>
<89,1664,1689,1814>
<90,1664,1692,1814>
<91,1664,1685,1762>
<92,1664,1682,1710>
<93,1656,1682,1710>
<94,1656,1683,1824>
<95,1656,1680,1710>
<96,1656,1678,1664>
<97,1656,1677,1664>
<98,1656,1677,1676>
<99,1656,1678,1868>
<100,1656,1678,1834>
Best: [3 10 5 2 12 11 7 1 8 6 4 9],1656

7 uruchomienie
<1,1770,1897,1998>
<2,1768,1911,2024>
<3,1762,1901,1998>
<4,1716,1890,2044>
<5,1716,1869,2036>
<6,1690,1863,2032>
<7,1690,1848,2032>
<8,1690,1846,2056>
<9,1690,1835,2044>
<10,1690,1854,2044>
<11,1690,1858,2062>
<12,1680,1835,2026>
<13,1680,1815,2026>
<14,1680,1836,2026>
<15,1680,1832,2026>
<16,1680,1828,2004>
<17,1668,1821,1994>
<18,1668,1788,1952>
<19,1668,1766,1912>
<20,1668,1764,1882>
<21,1668,1749,1882>
<22,1668,1742,1828>
<23,1668,1747,1816>
<24,1668,1738,1810>
<25,1668,1754,1822>
<26,1668,1759,1816>
<27,1668,1761,1886>
<28,1668,1755,1926>
<29,1668,1764,1926>
<30,1668,1766,1926>
<31,1668,1761,1898>
<32,1668,1752,1838>
<33,1668,1750,1824>
<34,1662,1755,1838>
<35,1668,1747,1824>
<36,1660,1744,1822>
<37,1660,1760,1822>
<38,1660,1770,1822>
<39,1660,1764,1834>
<40,1660,1774,1824>
<41,1660,1760,1874>
<42,1660,1757,1808>
<43,1660,1750,1824>
<44,1660,1740,1824>
<45,1660,1733,1810>
<46,1660,1737,1822>
<47,1660,1736,1822>
<48,1660,1738,1824>
<49,1660,1734,1822>
<50,1660,1737,1822>
<51,1660,1747,1912>
<52,1660,1752,1824>
<53,1660,1761,1824>
<54,1660,1762,1824>
<55,1660,1763,1824>
<56,1660,1763,1824>
<57,1660,1754,1822>
<58,1660,1754,1822>
<59,1660,1751,1810>
<60,1660,1742,1822>
<61,1660,1725,1822>
<62,1660,1721,1822>
<63,1660,1727,1822>
<64,1660,1717,1852>
<65,1660,1728,1822>
<66,1660,1716,1808>
<67,1660,1718,1808>
<68,1660,1726,1808>
<69,1660,1731,1808>
<70,1660,1726,1808>
<71,1660,1725,1804>
<72,1660,1722,1804>
<73,1660,1718,1816>
<74,1660,1721,1868>
<75,1660,1715,1868>
<76,1660,1721,1874>
<77,1660,1724,1892>
<78,1660,1722,1892>
<79,1660,1726,1892>
<80,1660,1725,1892>
<81,1660,1728,1892>
<82,1660,1720,1892>
<83,1660,1720,1892>
<84,1660,1716,1892>
<85,1660,1709,1890>
<86,1660,1711,1860>
<87,1660,1707,1846>
<88,1660,1713,1846>
<89,1660,1710,1846>
<90,1660,1712,1838>
<91,1660,1714,1838>
<92,1660,1706,1838>
<93,1660,1705,1838>
<94,1660,1701,1838>
<95,1660,1700,1838>
<96,1660,1683,1838>
<97,1660,1687,1838>
<98,1660,1692,1838>
<99,1660,1690,1838>
<100,1660,1690,1838>
Best: [3 10 11 2 12 7 5 1 8 6 4 9],1660

8 uruchomienie
<1,1760,1884,2008>
<2,1760,1916,2008>
<3,1742,1910,2024>
<4,1742,1901,2008>
<5,1742,1906,2008>
<6,1722,1902,2018>
<7,1722,1883,2044>
<8,1722,1887,2044>
<9,1722,1891,2044>
<10,1722,1877,2048>
<11,1714,1857,2018>
<12,1714,1835,2004>
<13,1714,1832,1992>
<14,1714,1823,1984>
<15,1714,1828,1926>
<16,1714,1819,1906>
<17,1714,1821,1906>
<18,1714,1815,1940>
<19,1710,1818,1956>
<20,1710,1809,1956>
<21,1710,1808,1916>
<22,1710,1816,1926>
<23,1710,1815,1926>
<24,1710,1811,1934>
<25,1710,1800,1914>
<26,1710,1795,1886>
